5,28,18,5,
11,33,1,2,
20,37,7,7,
3,41,15,11,
13,44,22,15,
2,2,3,18,
6,2,0,3,
26,7,2,10,
35,35,6,3,
5,39,10,6,
3,43,14,15,
21,6,17,4,
5,19,32,8,
20,32,37,3,
34,7,42,13,
0,1,55,1,
7,1,11,32,
2,7,3,5,
8,9,4,14,
14,5,7,16,
3,12,18,2,
12,30,7,3,
17,34,4,9,
39,3,2,18,
47,11,6,23,
51,16,9,26,
56,20,9,16,
62,1,14,2,
13,11,23,6,
23,16,3,33,
5,20,7,52,
2,5,3,15,
13,8,16,23,
20,34,21,30,
2,42,34,38,
21,46,38,42,
29,50,44,20,
33,4,51,25,
2,3,5,4,
22,7,4,4,
31,15,2,12,
37,20,8,26,
44,41,23,31,
4,49,6,36,
13,53,14,2,
1,57,17,2,
14,62,29,8,
2,2,13,15,
24,6,21,29,
33,3,3,35,
38,2,10,67,
43,17,2,1,
52,25,6,8,
56,28,9,17,
60,7,21,9,
2,24,25,17,
2,35,29,22,
10,6,34,26,
15,16,45,30,
20,0,4,33,
2,2,3,37,
5,7,9,40,
10,10,17,44,
16,1,15,47,
20,5,24,9,
2,1,28,14,
6,3,0,5,
19,7,6,13,
25,17,1,21,
5,2,2,3,
16,8,2,4,
23,10,1,2,
32,26,1,6,
2,28,6,21,
16,2,10,28,
2,5,0,33,
28,3,1,44,
33,8,2,49,
38,22,6,3,
44,28,0,1,
1,31,6,13,
23,38,8,19,
32,42,3,33,
35,48,10,40,
44,5,15,4,
49,11,18,10,
55,15,1,18,
67,19,5,1,
2,23,13,13,
5,26,2,23,
7,2,8,5,
2,2,2,12,
53,8,12,29,
61,1,19,35,
65,4,22,51,
71,4,31,4,
7,8,36,18,
84,21,1,29,
98,28,13,36,
4,0,2,45,
30,2,6,53,
2,11,17,63,
3,17,2,72,
8,20,1,80,
11,1,4,86,
15,11,2,91,
19,17,7,11,
23,2,8,17,
29,17,13,23,
31,23,14,31,
36,3,21,38,
49,9,35,46,
7,15,7,53,
78,1,22,1,
94,14,31,3,
2,18,3,10,
5,1,6,8,
8,5,20,5,
11,4,7,8,
31,7,15,11,
1,22,25,14,
4,47,11,38,
1,55,28,44,
8,58,3,50,
12,65,3,2,
4,69,8,7,
18,74,10,14,
22,2,3,17,
29,8,2,10,
5,23,6,15,
12,4,20,19,
2,9,23,22,
6,13,28,25,
3,18,33,28,
6,21,2,30,
9,34,6,32,
15,7,8,33,
21,19,16,35,
1,30,4,2,
16,94,10,7,
1,104,12,9,
3,108,27,10,
18,2,30,12,
11,19,37,14,
17,26,41,15,
22,30,45,17,
26,34,49,19,
3,38,2,21,
11,6,2,5,
4,12,15,10,
16,19,20,13,
2,32,7,15,
6,36,1,17,
3,1,2,19,
6,3,8,20,
12,1,1,22,
18,4,8,43,
24,8,16,47,
26,11,19,2,
3,19,26,6,
21,23,38,7,
1,30,42,30,
14,38,46,34,
1,1,9,38,
12,17,16,41,
4,23,27,45,
2,3,32,51,
13,9,36,55,
20,2,1,3,
25,15,10,27,
29,18,15,34,
1,26,19,38,
25,32,24,41,
34,36,15,45,
38,40,5,52,
46,1,11,57,
1,10,4,60,
14,25,7,62,
11,29,20,4,
27,33,24,3,
40,1,32,4,
2,11,1,10,
17,6,15,1,
26,12,1,3,
29,26,12,10,
2,2,18,29,
5,1,22,33,
23,5,26,2,
2,8,0,7,
4,12,11,13,
6,21,14,18,
2,2,3,23,
16,12,8,27,
22,18,2,31,
13,1,8,4,
24,5,16,5,
29,2,21,11,
32,2,2,4,
4,6,5,11,
12,12,0,18,
16,24,14,21,
30,27,17,32,
3,37,22,34,
16,43,29,38,
19,1,6,40,
26,12,13,44,
39,18,18,47,
3,22,2,1,
15,4,7,3,
19,1,14,43,
25,15,18,47,
38,4,4,49,
8,12,16,50,
16,19,3,52,
20,32,2,54,
34,37,7,56,
7,41,2,58,
16,45,7,59,
20,1,11,42,
34,22,4,4,
7,25,20,13,
7,1,1,26,
17,13,0,34,
22,2,18,42,
25,11,58,48,
3,2,66,51,
11,5,71,56,
15,2,75,61,
29,6,78,66,
4,3,83,72,
16,6,5,2,
19,9,14,19,
26,19,1,2,
38,3,2,1,
4,12,1,1,
16,19,2,17,
20,22,1,25,
26,24,5,33,
38,27,0,41,
3,29,12,4,
15,30,17,10,
18,32,2,1,
25,35,14,5,
37,9,20,13,
4,4,24,4,
16,13,2,12,
19,5,4,16,
25,15,4,23,
38,23,10,26,
3,27,11,33,
15,32,25,43,
19,36,3,53,
25,41,12,61,
38,43,2,70,
3,46,6,2,
16,48,10,2,
19,10,18,9,
33,19,36,12,
4,34,44,14,
10,38,6,15,
24,42,6,17,
28,44,12,19,
34,46,19,20,
47,48,1,22,
3,50,22,24,
15,53,29,4,
19,5,1,10,
25,10,6,17,
37,2,6,23,
9,3,25,30,
15,3,31,44,
18,7,4,82,
26,3,2,86,
32,6,1,91,
35,0,10,94,
37,10,3,100,
39,15,7,10,
44,48,1,4,
